,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
5,"RT @XanthosCY: #RescEU you failed. Du hast versagt.
#greeceisburning 
#greecefire 
#cyprus",FALSE,0,NA,8/2/2017 14:24,FALSE,NA,8.92753E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",willyvero,2,TRUE,FALSE,NA,NA
6,"RT @KambojAnanya: A bleak future lies ahead. It is our duty to act.

#GreeceFire #ClimateCrisis #ClimateActionNow

@GretaThunberg @vanessa_vash @Riseupmovt @ErikSolheim @GeraldKutney

[Picture from Greece, photographer unknown] https://t.co/VmvGhw1xtW",FALSE,0,NA,8/2/2017 14:24,FALSE,NA,8.92753E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TraderMichigan,0,FALSE,FALSE,NA,NA
8,"RT @Alexandros__M: Firefighters and volunteers try to extinguish a wildfire burning near Agios Stefanos, north of Athens in Greece on August 6, 2021. #Greece #greeceisburning #greecefire #fire #φωτιες #ΑγιοςΣτεφανος #πυρκαγιές #πυρκαγιά #wildfire https://t.co/dGFneEUMJC",FALSE,0,NA,8/2/2017 14:24,FALSE,NA,8.92753E+17,NA,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>",Suttmeier,0,FALSE,FALSE,NA,NA
10,"RT @Gab_H_R: 🔴Greece Wildfires 

People are evacuated by ferry, surrounded by flames. 

 #Greece #greecefire #greeceisburning 

 https://t.co/b00hTopdQS",FALSE,0,NA,8/2/2017 14:24,FALSE,NA,8.92753E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Wallstreetnsidr,1,TRUE,FALSE,NA,NA
11,"RT @greekmasterchef: Ένας Έλληνας και ενας Κύπριος , πυροσβέστης μάχονται δίπλα δίπλα στις #πυρκαγιες 🔥. 

Ο Θεός να βοηθήσει και να σβήσουν όσο πιο γρήγορα τα πύρινα μέτωπα. 🙏🙏

#Πυρκαγια #ηλεια #Greece #greecefire #Ευβοια #opentv #ΛιμνηΕυβοιας #φωτια_ευβοια #Μητσοτάκη_γαμιέσαι #πουστρα_κυβερνηση https://t.co/VwK7rzVWMf",FALSE,0,NA,8/2/2017 14:24,FALSE,NA,8.92753E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",wboscoho,0,FALSE,FALSE,NA,NA
12,"RT @KambojAnanya: A bleak future lies ahead. It is our duty to act.

#GreeceFire #ClimateCrisis #ClimateActionNow

@GretaThunberg @vanessa_vash @Riseupmovt @ErikSolheim @GeraldKutney

[Picture from Greece, photographer unknown] https://t.co/VmvGhw1xtW",FALSE,0,NA,8/2/2017 14:24,FALSE,NA,8.92753E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",GANDJMDAEI,703,TRUE,FALSE,NA,NA
13,RT @jcestars: ‼️GREECE IS BURNING - THREAD WITH LINKS TO DONATE TO / WAYS TO HELP❗PLEASE RT #φωτια #βαρυμπομπη #φωτια_Αιγιαλεια #PrayForGreece #greecefire https://t.co/kakPtjLfPM,FALSE,0,NA,8/2/2017 14:24,FALSE,NA,8.92753E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",nobullshytrader,0,FALSE,FALSE,NA,NA
14,RT @ibrhmvarli: Bütün bir Akdeniz havzası yangınlara teslim...😢 Yunanistan #Evia #greecefire #greeceisburning #GreeceFires https://t.co/bQipU45bri,FALSE,2,NA,8/2/2017 14:24,TRUE,NA,8.92753E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",stockpicklist,2,FALSE,FALSE,NA,NA
15,"אי אפשר לבנות שום דבר לטווח הארוך יוון הופכת למדינה כתומה וכבר ריקה מתיירים יוון לא מחכה לנו ויש שריפות כתבה של קטי דור https://t.co/VTkkcYdAyG via @YouTube 
@kettydor @kann_news #Greece #greecefire 
https://t.co/2ZgJ1h10cn",FALSE,0,NA,8/2/2017 14:24,TRUE,NA,8.92753E+17,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",MacHashNews,0,FALSE,FALSE,NA,NA
16,"RT @LXrisofakis1: Ένας Έλληνας και ενας Κύπριος , πυροσβέστης μάχονται δίπλα δίπλα στις #πυρκαγιες 🔥. 

Ο Θεός να βοηθήσει και να σβήσουν όσο πιο γρήγορα τα πύρινα μέτωπα. 🙏🙏

#Πυρκαγια #ηλεια #Greece #greecefire #greeceisburning #Ευβοια #opentv #ΛιμνηΕυβοιας #φωτια_ευβοια #φωτια https://t.co/CLUgw5L6Eu",FALSE,0,NA,8/2/2017 14:24,FALSE,NA,8.92753E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BethanyGarladn,703,TRUE,FALSE,NA,NA
